Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,St Elias Mtns,Canada,Donjek Glacier,RGI60-01.16342,Donjek glacier lake,ice,-139.484,61.185,Donjek River,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Tazlina Glacier,RGI60-01.10778,Big Lake,ice,-146.620789,61.59664,,
NW North America,Western Canada and USA,Cascade Ra and Sa Nevada,USA,South Tahoma Glacier,RGI60-02.14352,,water pocket,-121.805,46.824,,
NW North America,Alaska,St Elias Mtns,USA,Steller Glacier,RGI60-01.14883,Berg Lake,ice,-143.80331,60.403511,,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Snow,RGI60-01.09061,Snow,ice,-148.924999,60.482579,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Bear Glacier,RGI60-01.17803,Ice Lake,ice,-149.607868,60.072956,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Skilak Glacier,RGI60-01.17774,Skilak lake,ice,-149.944668,60.199099,,
NW North America,Alaska,St Elias Mtns,USA,Steller Glacier,RGI60-01.14883,Berg Lake,ice,-143.80331,60.403511,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Valdez,RGI60-01.10907,Valdez,ice,-146.136,61.2204,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Moose,RGI60-01.09061,Moose,ice,-149.025829,60.480729,,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Nelchina Glacier,RGI60-01.10683,Nelchina-north (PM1),ice,-146.929436,61.692803,Nelchina River,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,Kennicott,
NW North America,Alaska,St Elias Mtns,USA,Miles Glacier,RGI60-01.13531,Van Cleve Lake,ice,-144.408245,60.695872,,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Tazlina Glacier,RGI60-01.10778,Big Lake,ice,-146.620789,61.59664,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Nelchina Glacier,RGI60-01.10683,Nelchina-south (n247),ice,-146.886649,61.664544,Nelchina River,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Snow,RGI60-01.09061,Snow,ice,-148.924999,60.482579,,
NW North America,Western Canada and USA,Coast Mountains,Canada,West Grenville Glacier,RGI60-02.03584,Elliot Lake,moraine,-124.611713,50.958007,Southgate River,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Bear Glacier,RGI60-01.17803,Ice Lake,ice,-149.607868,60.072956,,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Valdez,RGI60-01.10907,Valdez,ice,-146.136,61.2204,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Nelchina Glacier,RGI60-01.10683,Nelchina-north (PM1),ice,-146.929436,61.692803,Nelchina River,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Nelchina Glacier,RGI60-01.10683,Nelchina-south (n247),ice,-146.886649,61.664544,Nelchina River,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,Kennicott,
NW North America,Alaska,St Elias Mtns,USA,unknown,RGI60-01.20775,Brabazon Lake,moraine,-138.2842214,59.27943045,Alsek River,overtopping
NW North America,Alaska,St Elias Mtns,USA,Steller Glacier,RGI60-01.14883,Berg Lake,ice,-143.80331,60.403511,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Skilak Glacier,RGI60-01.17774,Skilak lake,ice,-149.944668,60.199099,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Valdez,RGI60-01.10907,Valdez,ice,-146.136,61.2204,,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,ice,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,Kennicott,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,,
NW North America,Alaska,St Elias Mtns,USA,Steller Glacier,RGI60-01.14883,Berg Lake,ice,-143.80331,60.403511,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Bear Glacier,RGI60-01.17803,Ice Lake,ice,-149.607868,60.072956,,
