Lake ID,Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
145,Andes,Low Latitudes,Low-latitude Andes,Peru,unknown,,W030,moraine,-76.9168,-10.203,,breach
146,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02917,RGI60-16.02917,,moraine,-76.41182204,-11.4019148,,breach
147,Andes,Southern Andes,Patagonia,Chile,RGI60-17.04981,RGI60-17.04981,,moraine,-73.900652,-49.816333,,breach
148,Andes,Southern Andes,Patagonia,Chile,RGI60-17.08598,RGI60-17.08598,Estero El Pedregoso,moraine,-72.41666667,-46.46666667,,
149,Andes,Southern Andes,Patagonia,Chile,RGI60-17.09232,RGI60-17.09232,Monte Erasmo,moraine,-73.23366748,-46.13951686,,
150,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
151,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
152,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
153,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02716,RGI60-16.02716,,moraine,-75.46500383,-12.64374678,,breach
154,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02535,RGI60-16.02535,,moraine,-77.64378873,-8.85595156,,
155,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01969,RGI60-16.01969,,moraine,-77.24574832,-9.93816,,breach
156,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01917,RGI60-16.01917,Caramarca,moraine,-76.9287,-10.2934,,overtopping
157,Andes,Southern Andes,Patagonia,Chile,RGI60-17.08524,RGI60-17.08524,,moraine,-72.84,-46.53,,breach
158,Andes,Southern Andes,Patagonia,Chile,RGI60-17.08529,RGI60-17.08529,,moraine,-72.416253,-46.515376,,
159,Andes,Southern Andes,C Andes,Chile,RGI60-17.10150,RGI60-17.10150,,moraine,-72.394581,-44.441195,,breach
160,Andes,Southern Andes,C Andes,Argentina,RGI60-17.11765,RGI60-17.11765,,moraine,-71.92,-42.42,,breach
161,Andes,Southern Andes,Patagonia,Chile,RGI60-17.08672,RGI60-17.08672,,moraine,-72.52,-46.43,,breach
162,Andes,Southern Andes,Patagonia,Chile,RGI60-17.09197,RGI60-17.09220,,moraine,-72.410492,-46.077957,,breach
163,Andes,Southern Andes,C Andes,Chile,RGI60-17.10382,RGI60-17.10382,,moraine,-72.110996,-43.95339,,breach
164,Andes,Low Latitudes,C Andes,Chile,Gl. Del río Seco de los Tronquitos,RGI60-17.15038,,subglacial,-69.73582,-28.54962,Manflas,breach (?) violent failure of one of the subglacial lake walls
165,Andes,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,,supraglacial,-73.83,-46.7,,
166,Andes,Southern Andes,Patagonia,Argentina,RGI60-17.05072,RGI60-17.05072,,moraine,-73.01,-49.41,,breach
167,Andes,Southern Andes,C Andes,Argentina,RGI60-17.13005,RGI60-17.13005,,moraine,-70.45,-36.85,,breach
168,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00441,RGI60-16.00441,,bedrock,-72.22499213,-12.99892265,,overtopping
169,Andes,Southern Andes,Patagonia,Chile,RGI60-17.00122,RGI60-17.00122,,moraine,-72.960377,-50.94645,,breach
170,Andes,Southern Andes,Patagonia,Argentina,RGI60-17.00412,RGI60-17.00412,,moraine,-73.089037,-49.813896,,breach
171,Andes,Southern Andes,Patagonia,Chile,RGI60-17.07059,RGI60-17.07059,Estero Las Lenguas,moraine,-72.885532,-47.717038,,
172,Andes,Southern Andes,Patagonia,Chile,Steffen Glacier,RGI60-17.15897,Gl. Steffen NW Lake,ice,-73.79450969,-47.39555842,,
173,Andes,Southern Andes,Patagonia,Chile,RGI60-17.07528,RGI60-17.07528,,moraine,-73.418756,-47.496908,,breach
174,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
175,Andes,Southern Andes,Patagonia,Chile,U-7,RGI60-17.15853,Cerro Largo,moraine,-73.2635,-46.9616,Soler,
176,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00342,RGI60-16.00342,,moraine/bedrock,-72.87785325,-13.23561204,,overtopping
177,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02011,RGI60-16.02011,,moraine,-77.22141345,-9.84486952,,
178,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02013,RGI60-16.02013,,moraine,-77.21517113,-9.8173936,,breach
179,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02058,RGI60-16.02058,Laguna Chuspicocha,moraine,-75.06901377,-11.90230522,,breach
